pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"TOI-1288 b","TOI-1288",44.10000,4.968,313.1670294,65.6087833,114.8650000
"TOI-5232 b","TOI-5232",,12.973,294.3374248,35.2764934,609.3880000
"HD 104067 b","HD 104067",,,179.7923543,-20.3556058,20.3632000
"TOI-1180 b","TOI-1180",10.00000,3.036,214.5557741,82.1937642,72.0238000
"TOI-3894 b","TOI-3894",,14.357,201.3748265,52.7681036,417.3650000
"TOI-3082 b","TOI-3082",,3.427,195.9080719,-19.2189845,113.0480000
"TOI-1710 b","TOI-1710",22.40000,5.203,94.2838373,76.2110200,81.2271000
"HD 149026 b","HD 149026",102.97692,,247.6229827,38.3475349,75.8643000
"TOI-3785 b","TOI-3785",14.95000,5.140,130.9002258,63.0780768,79.7634000
"TOI-4860 b","TOI-4860",86.70000,8.700,183.5639610,-13.1748411,80.1423000
"NGTS-3 A b","NGTS-3 A",756.43540,16.589,94.4447595,-35.7063640,743.9720000
"HAT-P-2 b","HAT-P-2",3632.79690,13.451,245.1514324,41.0479601,127.7740000
"XO-6 b","XO-6",,,94.7929552,73.8275672,235.4790000
"TOI-5344 b","TOI-5344",135.00000,9.700,63.2662165,20.9151568,138.3670000
"TOI-2977 b","TOI-2977",,12.982,143.9265177,-60.3574758,
"TOI-1135 b","TOI-1135",,9.085,193.3963704,85.1294952,114.0480000
"KELT-12 b","KELT-12",,,267.6404906,36.5701761,368.0300000
"TOI-5344 b","TOI-5344",130.94530,10.604,63.2662165,20.9151568,138.3670000
"TOI-4145 A b","TOI-4145 A",,12.183,39.4297435,80.2673838,205.3870000
"HD 17156 b","HD 17156",,,42.4366123,71.7530882,78.0863000
"HD 104067 b","HD 104067",,,179.7923543,-20.3556058,20.3632000
"HD 104067 b","HD 104067",,,179.7923543,-20.3556058,20.3632000
"HD 207897 b","HD 207897",14.80000,2.343,325.2016451,84.3337613,28.2938000
"TOI-3331 A b","TOI-3331 A",,12.168,271.3241672,-34.1071710,217.1930000
"NGTS-27 b","NGTS-27",,13.694,206.0265266,-32.5229747,942.1220000
"KELT-12 b","KELT-12",,15.400,267.6404906,36.5701761,368.0300000
"HD 17156 b","HD 17156",,,42.4366123,71.7530882,78.0863000
"NGTS-14 A b","NGTS-14 A",29.24036,4.977,328.5174799,-38.3774193,322.1480000
"TOI-1135 b","TOI-1135",,9.341,193.3963704,85.1294952,114.0480000
"TOI-2818 b","TOI-2818",225.65817,15.278,119.0598183,-35.1167104,312.6740000
"TrES-5 b","TrES-5",573.36532,13.484,305.2219454,59.4489033,360.3130000
